ТОВАРЫ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTORY L208/200 walnut/white glass;FACTORY Стойка L208 стекло 200;Стойка Factory;208x84xh113;ОРЕХ/БЕЛЫЙ;0;2 781;0;0;0; ;0;0;DS17;ЗАГ00114;;;;1;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
FACTORY L208/200 light oak/white glass;FACTORY Стойка L208 стекло 200;Стойка Factory;208x84xh113;ДУБ СВЕТЛЫЙ/БЕЛЫЙ;0;2 781;0;0;0; ;0;0;DS17;ЗАГ00115;;;;1;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
FACTORY L208/200 rovere cotto/black;FACTORY Стойка L208 стекло 200;Стойка Factory;208x84xh113;ДУБ ЖЖЕНЫЙ/ЧЕРНЫЙ;0;4 779;0;0;0; ;0;0;DS17;ЗАГ00116;;;;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
FACTORY L308/200 rovere cotto/black;FACTORY Стойка L308 стекло 200;Стойка Factory;308x84xh113;ДУБ ЖЖЕНЫЙ/ЧЕРНЫЙ;0;5 819;0;0;0; ;0;0;DS17;ЗАГ00117;;;;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
LUNA 60* module with sides light oak;LUNA Стойка 60;Стойка Luna;178x103xh112;ДУБ СВЕТЛЫЙ;0;2 308;0;0;0; ;0;0;DS14;ЗАГ00128;;;;6;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
LUNA 120* light oak;LUNA Стойка 120;Стойка Luna;351x103xh112;ДУБ СВЕТЛЫЙ;0;4 306;0;0;0; ;0;0;DS14;ЗАГ00129;;;;6;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
FACTORY L308/200 white/black;FACTORY Стойка L308 стекло 200;Стойка Factory;308x84xh113;БЕЛ+ЧЕРН;0;3 135;0;0;0; ;0;0;DS17;ЗАГ00134;;;;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
FACTORY L308/200 light oak/white;FACTORY Стойка L308 стекло 200;Стойка Factory;308x84xh113;ДУБ СВЕТЛЫЙ/БЕЛЫЙ;0;3 135;0;0;0; ;0;0;DS17;ЗАГ00135;;;;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
FACTORY L308/200 walnut/white;FACTORY Стойка L308 стекло 200;Стойка Factory;308x84xh113;ОРЕХ/БЕЛЫЙ;0;3 135;0;0;0; ;0;0;DS17;ЗАГ00136;;;;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO L.200 4 doors DARK OAK, carcass GREY;DADO Греденция L200 дер.дв.с/к;Греденция Тао/Ekis/Sigma;200x44xh72;ДУБ ТЕМНЫЙ;0;1 011;0;0;0; ;82,19;0,229;DS17;ЗАГ00147;;;;2;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO L.200  4 doors LIGHT OAK, carcass GREY;DADO Греденция L200 дер.двери;Греденция Тао/Ekis/Sigma;200x44xh72;ДУБ СВЕТЛЫЙ;0;1 011;0;0;0; ;82,19;0,229;DS17;ЗАГ00149;;;;2;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO L.200 4 doors LIGHT OAK, carcass WHITE;DADO Греденция L200 дер.двери;Греденция Тао/Ekis/Sigma;200x44xh72;ДУБ СВЕТЛЫЙ;0;1 011;0;0;0; ;82,19;0,229;DS17;ЗАГ00150;;;;6;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO wooden+glass doors L200 TOP DARK OAK, Carcass - grey;DADO Греденция L200 стекло+дер;Греденция Тао/Ekis/Sigma;200x44xh72;СТЕКЛО БЕЛ/ДУБ ТЕМН;0;1 289;0;0;0; ;82,19;0,229;DS17;ЗАГ00152;;;;2;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO wooden+glass doors L200 TOP DARK OAK, Carcass - white;DADO Греденция L200 стекло+дер;;200x44xh72;СТЕКЛО БЕЛ/ДУБ ТЕМН;0;1 289;0;0;0; ;82,19;0,229;DS17;ЗАГ00153;;;;6;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO wooden+glass doors L200 TOP LIGHT OAK, Carcass - grey;DADO Греденция L200 стекло+дер;;200x44xh72;СТЕКЛО БЕЛ/ДУБ СВЕТ;0;1 289;0;0;0; ;82,19;0,229;DS17;ЗАГ00154;;;;2;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO wooden+glass doors L200 TOP LIGHT OAK, Carcass - white;DADO Греденция L200 стекло+дер;;200x44xh72;СТЕКЛО БЕЛ/ДУБ СВЕТ;0;1 289;0;0;0; ;82,19;0,229;DS17;ЗАГ00155;;;;6;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO wooden+glass doors L200;DADO Греденция L200 стекло+дер;;200x44xh72;СТЕКЛО БЕЛ/ОРЕХ;0;1 415;0;0;0; ;82,19;0,229;DS17;ЗАГ00156;;;;2;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO L.200 4 glass doors, TOP DARK OAK, carcass GREY;DADO Греденция L200 стек.двери;;200x44x72;СТЕКЛО БЕЛ/ДУБ ТЕМН;0;1 567;0;0;0; ;81,9;0,229;DS17;ЗАГ00157;;;;2;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO L.200 4 glass doors, TOP DARK OAK, carcass WHITE;DADO Греденция L200 стек.двери;;200x44xh72;СТЕКЛО БЕЛ/ДУБ ТЕМН;0;1 567;0;0;0; ;81,9;0,229;DS17;ЗАГ00158;;;;6;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO L.200 4 glass doors, LIGHT OAK, carcass GREY;DADO Греденция L200 стек.двери;;200x44xh72;СТЕКЛО БЕЛ/ДУБ СВЕТ;0;1 567;0;0;0; ;81,9;0,229;DS17;ЗАГ00159;;;;2;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO L.200 4 glass doors, LIGHT OAK, carcass WHITE;DADO Греденция L200 стек.двери;;200x44xh72;СТЕКЛО БЕЛ/ДУБ СВЕТ;0;1 567;0;0;0; ;81,9;0,229;DS17;ЗАГ00160;;;;6;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO L.200 4 glass doors, WALNUT, carcass GREY;DADO Греденция L200 стек.двери;;200x44xh72;СТЕКЛО БЕЛ/ОРЕХ;0;1 567;0;0;0; ;81,9;0,229;DS17;ЗАГ00161;;;;2;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO L.200 WHITE glass doors;DADO Греденция L200 стек.двери;;200x44xh72;СТЕКЛО БЕЛ/БЕЛЫЙ;0;1 567;0;0;0; ;81,9;0,229;DS17;ЗАГ00162;;;;6;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO L.200 BLACK glass doors;DADO Греденция L200 стек.двери;;200x44xh72;СТЕКЛО ЧЕРН/ЧЕРНЫЙ;0;1 700;0;0;0; ;81,9;0,229;DS17;ЗАГ00163;;;;1;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
DADO H.121 BLACK glass doors;DADO Шкаф 4 стекл.двери;;100x44xh122;СТЕКЛО ЧЕРН/ЧЕРНЫЙ;0;1 538;0;0;0; ;75,74;0,194;DS17;ЗАГ00164;;;;5;Целое;ШКАФ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
FACTORY L208/100 white/white;FACTORY Стойка L208 стекло 100;Стойка Factory;208x84xh113;БЕЛ/БЕЛ;0;1 901;0;0;0; ;0;0;DS17;ЗАГ00282;;;;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
FACTORY L308/200 white/white;FACTORY Стойка L308 стекло 200;Стойка Factory;308x84xh113;БЕЛ/БЕЛ;0;3 135;0;0;0; ;0;0;DS14;ЗАГ00283;;;;0;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
;ARMA Шкаф комб. каркас белый;;;ОРЕХ;0;959;0;0;0; ;0;0;DS17;ЗАГ00287;;;;11; ;;;; ;Нет;Нет;Нет; ; ; ;;;; ;0;0;
;ARMA Шкаф д/бумаг,каркас белый;;;ДУБ СВЕТЛЫЙ;0;608;0;0;0; ;0;0;DS17;ЗАГ00290;;;;0; ;;;; ;Нет;Нет;Нет; ; ; ;;;; ;0;0;
;ARMA Гардероб, каркас белый;;;ДУБ СВЕТЛЫЙ;0;691;0;0;0; ;0;0;DS17;ЗАГ00291;;;;0; ;;;; ;Нет;Нет;Нет; ; ; ;;;; ;0;0;
;ARMA Гардероб, каркас белый;;;ОРЕХ;0;691;0;0;0; ;0;0;DS17;ЗАГ00292;;;;3; ;;;; ;Нет;Нет;Нет; ; ; ;;;; ;0;0;
;ARMA Шкаф открытый,каркас бел;;;ОРЕХ;0;496;0;0;0; ;0;0;DS17;ЗАГ00299;;;;11; ;;;; ;Нет;Нет;Нет; ; ; ;;;; ;0;0;
;ARMA Стеллаж, каркас белый;;;ОРЕХ;0;347;0;0;0; ;0;0;DS17;ЗАГ00303;;;;11; ;;;; ;Нет;Нет;Нет; ; ; ;;;; ;0;0;
FACTORY L208/100 walnut/black;FACTORY Стойка L208 стекло 100;Стойка Factory;;ОРЕХ/ЧЕРНЫЙ;0;1 901;0;0;0; ;0;0;DS17;ЗАГ00314;;;;1;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
FACTORY L208/200 walnut/black glass;FACTORY Стойка L208 стекло 200;Стойка Factory;;ОРЕХ/ЧЕРНЫЙ;0;2 781;0;0;0; ;0;0;DS17;ЗАГ00315;;;;1;Целое;РЕСЕПШ;;; ;Нет;Нет;Нет; ; ; ;;;Sinetica; ;0;0;
